Name,Price,Rate,Rating_count,Details,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Dolce & Gabanna L'imperatrice 3 Pour Femme,199 ,5,6 ,"['Dolce&Gabbana', 'Women', 'Perfume', 'Romantic', 'Floral', '100 ml', '2009', 'Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree', 'Eau de Toilette', 'Pink pepper, kiwi, rhubarb', 'jasmine, cyclamen, watermelon', 'musk, sandalwood, lemon trees.']",Dolce&Gabbana,Women,Perfume,Romantic,Floral,100_ml,2009,"Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree",Eau de Toilette,"Pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon","musk, sandalwood, lemon trees."
Roberto Cavalli Paradiso,169 ,4.95,17 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Charismatic', 'Woody', '50 ml', '2015', 'Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.', 'Eau de Parfum', 'Citruses , Mandarin , Bergamot', 'Jasmine', 'Cypress, Parasol pine, Pink laurel']",Roberto Cavalli,Women,Perfume,Charismatic,Woody,50_ml,2015,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,"Cypress, Parasol pine, Pink laurel"
Yves Saint Laurent Libre,383 ,5,3 ,"['Yves Saint Laurent', 'Women', 'Perfume', 'Romantic', 'Floral', '90 ml', '2019', 'Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris', 'Eau de Parfum', 'Mandarin Orange, Lavendar, Black Currant, Petitgrain', 'Jasmine, Orange Blossom', 'Vanilla, Cedar, Musk, Ambergris']",Yves Saint Laurent,Women,Perfume,Romantic,Floral,90_ml,2019,"Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"Mandarin Orange, Lavendar, Black Currant, Petitgrain","Jasmine, Orange Blossom","Vanilla, Cedar, Musk, Ambergris"
Mancera Red Tobacco,499 ,4.38,8 ,"['Mancera', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2017', 'Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.', 'Eau de Parfum', 'Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese', 'Patchouli, Jasmine', 'Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk']",Mancera,Unisex,Perfume,Charismatic,Oriental,120_ml,2017,"Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.",Eau de Parfum,"Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese","Patchouli, Jasmine","Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk"
Giorgio Armani Emporio Armani Stronger With You Intensely,375 ,5,3 ,"['Giorgio Armani', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber', 'Eau de Parfum', 'Pink pepper, Juniper, Violet leaf', 'Lavender, Sage, Toffee, Cinnamon', 'Tonka bean, Suede, Amber, Vanilla']",Giorgio Armani,Men,Perfume,Charismatic,Aromatic,100_ml,2019,"Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber",Eau de Parfum,"Pink pepper, Juniper, Violet leaf","Lavender, Sage, Toffee, Cinnamon","Tonka bean, Suede, Amber, Vanilla"
Versace Eros Pour Femme EDP,229 ,4.79,7 ,"['Versace', 'Women', 'Perfume', 'Sophisticated', 'Woody', '100 ml', '2014', 'sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.', 'Eau de Parfum', 'Sicilian lemon, Calabrian bergamot, Pomegranate', 'lemon, sambac jasmine, peony', 'Sandalwood, Ambrox, Musk,woods']",Versace,Women,Perfume,Sophisticated,Woody,100_ml,2014,"sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.",Eau de Parfum,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods"
Roberto Cavalli Florence,167 ,4.83,5 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2016', 'Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber', 'Eau de Parfum']",Roberto Cavalli,Women,Perfume,Romantic,Floral,50_ml,2016,"Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber",Eau de Parfum,"Mandarin, Orange","Black Currant, Orange Blossom, Grapefruit Blossom"," Patchouli, Musk, Amber"
Xerjoff Casamorati La Tosca,1403 ,No-Rate,0,"['Xerjoff', 'Women', 'Perfume', 'Feminine', 'Floral', '100 ml', '2015', 'Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla', 'Eau de Parfum']",Xerjoff,Women,Perfume,Feminine,Floral,100_ml,2015,"Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla",Eau de Parfum,"Violet Leaf, Eucalyptus","Musk, Patchouli, Green Mandarin","Italian Lemon, Rose, Amber, Vanilla"
Chopard Oud Malaki,295 ,4.88,5 ,"['Chopard', 'Unisex', 'Perfume', 'Glamorous', 'Oriental', '80 ml', '2012', 'Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood', 'Eau de Parfum', 'Grapefruit, lavender, artemisia', 'Leather, spices, tobacco', 'Amber, dark woods, oud']",Chopard,Unisex,Perfume,Glamorous,Oriental,80_ml,2012,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud"
Memo Paris Marfa,1064 ,No-Rate,0,"['Memo Paris', 'Unisex', 'Perfume', 'Charismatic', 'Floral Oriental', '75 ml', '2016', 'Neroli, Mandarin, Ylang Ylang, Agave, Tuberose, Vanilla, White Musk, Cedarwood, Sandalwood', 'Eau de Parfum', 'Neroli, Mandarin', 'Ylang Ylang, Agave, Tuberose', 'Vanilla, white musk, cedar wood, sandalwood']",Memo Paris,Unisex,Perfume,Charismatic,FloralOriental,75_ml,2016,"Neroli, Mandarin, Ylang Ylang, Agave, Tuberose, Vanilla, White Musk, Cedarwood, Sandalwood",Eau de Parfum,"Neroli, Mandarin","Ylang Ylang, Agave, Tuberose","Vanilla, white musk, cedar wood, sandalwood"
Giorgio Armani Si Passione,325 ,No-Rate,0,"['Giorgio Armani', 'Women', 'Perfume', 'Glamorous', 'Floral', '100 ml', '2017', 'Pink Pepper, Pear, Black Currant, Grapefruit, Rose, Jasmine, Heliotrope, Pineapple, Cedar, Vanilla, Amberwood, Patchouli.', 'Eau de Parfum', 'Pink pepper, Pear, Blackcurrant', 'Rose, Jasmine, Heliotrope', 'Vanilla, Cedarwood']",Giorgio Armani,Women,Perfume,Glamorous,Floral,100_ml,2017,"Pink Pepper, Pear, Black Currant, Grapefruit, Rose, Jasmine, Heliotrope, Pineapple, Cedar, Vanilla, Amberwood, Patchouli.",Eau de Parfum,"Pink pepper, Pear, Blackcurrant","Rose, Jasmine, Heliotrope","Vanilla, Cedarwood"
Uniqo Tempesta EDP - 100 ml,110 ,5,1 ,"['Uniqo', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '100 ml', '2019', 'Marine Accords, Bay Leaf, Ambergris', 'Eau de Parfum', 'Marine Accords', 'Bay Leaf', 'Ambergris']",Uniqo,Men,Perfume,Extravagant,Aromatic,100_ml,2019,"Marine Accords, Bay Leaf, Ambergris",Eau de Parfum,Marine Accords,Bay Leaf,Ambergris
Roberto Cavalli Uomo Roberto Cavalli,167 ,4.75,12 ,"['Roberto Cavalli', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2016', 'Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.', 'Eau de Toilette', 'Black violet, Saffron', 'Honey, Lavender', 'Cedarwood, Patchouli, Tonka.']",Roberto Cavalli,Men,Perfume,Charismatic,Oriental,100_ml,2016,"Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.",Eau de Toilette,"Black violet, Saffron","Honey, Lavender","Cedarwood, Patchouli, Tonka."
Mancera Roses Vanille,409 ,4.93,18 ,"['Mancera', 'Unisex', 'Perfume', 'Feminine', 'Floral', '120 ml', 'Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk', 'Eau de Parfum', 'Fresh Lemon of Calabria', 'Turkish delight, Rose', 'Cedarwood, Intense Vanilla & White Musk']",Mancera,Unisex,Perfume,Feminine,Floral,120_ml,,"Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk",Eau de Parfum,Fresh Lemon of Calabria,"Turkish delight, Rose","Cedarwood, Intense Vanilla & White Musk"
Boucheron Quatre Pour Femme,240 ,5,4 ,"['Boucheron', 'Women', 'Perfume', 'Extravagant', 'Fruity', '50 ml', '2015', 'Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel', 'Eau de Parfum', 'Mandarin, orange, lemon, grapefruit', 'Strawberry, rose, peach, jasmine, apple', 'Cedarwood, vanilla, cashmere, caramel']",Boucheron,Women,Perfume,Extravagant,Fruity,50_ml,2015,"Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel",Eau de Parfum,"Mandarin, orange, lemon, grapefruit","Strawberry, rose, peach, jasmine, apple","Cedarwood, vanilla, cashmere, caramel"
Mont Blanc Explorer,205 ,4.42,13 ,"['Mont Blanc', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood', 'Eau de Parfum', 'Clary Sage, Pink Pepper, Bergamot', 'Patchouli, Mahonial, Ambrofix', 'Vetiver, Leather, Cedarwood']",Mont Blanc,Men,Perfume,Charismatic,Aromatic,100_ml,2019,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix","Vetiver, Leather, Cedarwood"
Roberto Cavalli Paradiso Azzurro,174 ,5,3 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2015', 'Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.', 'Eau de Parfum', 'Citrus, Bergamot, Lavender', 'wild jasmine, petals', 'Cypress, Cashmere woods']",Roberto Cavalli,Women,Perfume,Romantic,Floral,50_ml,2015,"Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.",Eau de Parfum,"Citrus, Bergamot, Lavender","wild jasmine, petals","Cypress, Cashmere woods"
Parfums de Marly Layton Exclusif EDP,1438 ,No-Rate,0,"['Parfums de Marly', 'Unisex', 'Perfume', 'Modern', 'Floral Oriental', '125 ml', '2017', 'Almond, Mandarin Orange, Bergamot, Watery Notes, Civet, Geranium, Rose, Gardenia, Water Lily, Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper', 'Eau de Parfum', 'Almond, Mandarin Orange, Bergamot, Watery Notes', 'Civet, Geranium, Rose, Gardenia, Water Lily', 'Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper']",Parfums de Marly,Unisex,Perfume,Modern,FloralOriental,125_ml,2017,"Almond, Mandarin Orange, Bergamot, Watery Notes, Civet, Geranium, Rose, Gardenia, Water Lily, Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper",Eau de Parfum,"Almond, Mandarin Orange, Bergamot, Watery Notes","Civet, Geranium, Rose, Gardenia, Water Lily","Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper"
Juicy Couture Viva La Juicy,252 ,4.75,6 ,"['Juicy Couture', 'Women', 'Perfume', 'Extravagant', 'Fruity', '100 ml', '2008', 'mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla', 'Eau de Parfum', 'mandarin, Cranberry', 'capricorn, Gardenia, Jasmine,', 'Amber, Caramel, Almond Candy, Sandalwood, Vanilla']",Juicy Couture,Women,Perfume,Extravagant,Fruity,100_ml,2008,"mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla",Eau de Parfum,"mandarin, Cranberry","capricorn, Gardenia, Jasmine,","Amber, Caramel, Almond Candy, Sandalwood, Vanilla"
Maqam Base of Soul EDP - 120 ml,319 ,5,1 ,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Saffron, Rose, Musk, Sandalwod', 'Eau de Parfum', 'Saffron', 'Rose', 'Musk, Sandalwod']",Maqam,Unisex,Perfume,Charismatic,Oriental,120_ml,2020,"Saffron, Rose, Musk, Sandalwod",Eau de Parfum,Saffron,Rose,"Musk, Sandalwod"
The Finest Rose EDP - 100 ml,249 ,5,2 ,"['The Finest', 'Unisex', 'Perfume', 'Romantic', 'Floral', '100 ml', 'Saffron, Bulgarian Rose, Musk', 'Eau de Parfum', 'Saffron', 'Bulgarian Rose', 'Musk']",The Finest,Unisex,Perfume,Romantic,Floral,100_ml,,"Saffron, Bulgarian Rose, Musk",Eau de Parfum,Saffron,Bulgarian Rose,Musk
Calvin Klein Euphoria Men Intense,145 ,4,3 ,"['Calvin Klein', 'Men', 'Perfume', 'Romantic', 'Soft Oriental', '100 ml', '2008', 'ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood', 'Eau de Toilette', 'ginger, hot pepper', 'warm cedar, smoky vetiver, savory sage, spicy black basil', 'myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood']",Calvin Klein,Men,Perfume,Romantic,Soft_Oriental,100_ml,2008,"ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood",Eau de Toilette,"ginger, hot pepper","warm cedar, smoky vetiver, savory sage, spicy black basil","myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood"
Penhaligon's The Tragedy of Lord George,1254 ,No-Rate,0,"[""Penhaligon's"", 'Men', 'Perfume', 'Masculine', 'Woody', '75 ml', '2016', 'Brandy, Shaving Soap, Tonka Bean', 'Eau de Parfum', 'Brandy', 'Shaving Soap', 'Tonka Bean']",Penhaligon's,Men,Perfume,Masculine,Woody,75_ml,2016,"Brandy, Shaving Soap, Tonka Bean",Eau de Parfum,Brandy,Shaving Soap,Tonka Bean
Versace Crystal Noir EDP,252 ,5,5 ,"['Versace', 'Women', 'Perfume', 'Modern', 'Floral Oriental', '90 ml', '2004', 'Ginger, cardamom, pepper, orange buds, peony, gardenia, coconut, sandalwood, musk, amber.', 'Eau de Parfum', 'Ginger, cardamom, pepper', 'orange buds, peony, gardenia, coconut', 'sandalwood, musk, amber.']",Versace,Women,Perfume,Modern,FloralOriental,90_ml,2004,"Ginger, cardamom, pepper, orange buds, peony, gardenia, coconut, sandalwood, musk, amber.",Eau de Parfum,"Ginger, cardamom, pepper","orange buds, peony, gardenia, coconut","sandalwood, musk, amber."
Mont Blanc Emblem,144 ,5,1 ,"['Mont Blanc', 'Men', 'Perfume', 'Charismatic', 'Woody Oriental', '100 ml', '2014', 'Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean', 'Eau de Toilette', 'Clary Sage, Cardamom, Grapefruit', 'Frozen Violet Leaf, Cinnamon', 'Woods, Tonka bean']",Mont Blanc,Men,Perfume,Charismatic,Woody_Oriental,100_ml,2014,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon","Woods, Tonka bean"
Dolce & Gabbana The One Mysterious Night,374 ,4.5,2 ,"['Dolce&Gabbana', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2018', 'Saffron, Grapefruit, Rose, Oud, Sage, Amber, Woody Notes, Labdanum, Tonka Bean.', 'Eau de Parfum', 'Saffron, Grapefruit', 'Rose, Oud, Sage', 'Amber, Woody Notes, Labdanum, Tonka Bean.']",Dolce&Gabbana,Men,Perfume,Charismatic,Oriental,100_ml,2018,"Saffron, Grapefruit, Rose, Oud, Sage, Amber, Woody Notes, Labdanum, Tonka Bean.",Eau de Parfum,"Saffron, Grapefruit","Rose, Oud, Sage","Amber, Woody Notes, Labdanum, Tonka Bean."
Dolce & Gabbana The One for Men EDT,239 ,No-Rate,0,"['Dolce&Gabbana', 'Men', 'Perfume', 'Natural', 'Woody', '100 ml', '2008', 'Coriander, basil, grapefruit, ginger, orange buds, cardamom, amber, cedar, tobacco', 'Eau de Toilette', 'Grapefruit, Coriander, Basil', 'ginger, orange buds, cardamom', 'amber, cedar, tobacco']",Dolce&Gabbana,Men,Perfume,Natural,Woody,100_ml,2008,"Coriander, basil, grapefruit, ginger, orange buds, cardamom, amber, cedar, tobacco",Eau de Toilette,"Grapefruit, Coriander, Basil","ginger, orange buds, cardamom","amber, cedar, tobacco"
The Finest Oud EDP - 100 ml,249 ,5,1 ,"['The Finest', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '100 ml', 'Pink Pepper, Oudy Notes, White Musk', 'Eau de Parfum', 'Pink Pepper', 'Oudy Notes', 'White Musk']",The Finest,Unisex,Perfume,Charismatic,Oriental,100_ml,,"Pink Pepper, Oudy Notes, White Musk",Eau de Parfum,Pink Pepper,Oudy Notes,White Musk
Maqam Base of Poetry EDP - 120 ml,319 ,5,2 ,"['Maqam', 'Men', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Orange, Cinammon, Rose, Clove, Musk, Vanilla', 'Eau de Parfum', 'Orange, Cinammon', 'Rose, Clove', 'Musk, Vanilla']",Maqam,Men,Perfume,Charismatic,Oriental,120_ml,2020,"Orange, Cinammon, Rose, Clove, Musk, Vanilla",Eau de Parfum,"Orange, Cinammon","Rose, Clove","Musk, Vanilla"
Versace Dylan Blue Pour Homme,245 ,5,4 ,"['Versace', 'Men', 'Perfume', 'Natural', 'Aromatic', '50 ml', '2016', 'Water Notes, Calabrian bergamot, Grapefruit, Fig Leaf, Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan, Musk, Incense, Tonka Bean, Saffron', 'Eau de Toilette', 'Calabrian bergamot, grapefruit, fig leaves', 'violet leaf, papyrus wood, organic patchouli, black pepper, ambrox', 'Mineral musks, tonka bean, incense, saffron.']",Versace,Men,Perfume,Natural,Aromatic,50_ml,2016,"Water Notes, Calabrian bergamot, Grapefruit, Fig Leaf, Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan, Musk, Incense, Tonka Bean, Saffron",Eau de Toilette,"Calabrian bergamot, grapefruit, fig leaves","violet leaf, papyrus wood, organic patchouli, black pepper, ambrox","Mineral musks, tonka bean, incense, saffron."
Roberto Cavalli Nero Assoluto,169 ,4.5,3 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Modern', 'Floral Oriental', '50 ml', '2013', 'Orchids, citrus fruits, vanilla, ebony, woods.', 'Eau de Parfum', 'Orchids, citrus fruits', 'Vanilla', 'woods, Ebony wood']",Roberto Cavalli,Women,Perfume,Modern,FloralOriental,50_ml,2013,"Orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"Orchids, citrus fruits",Vanilla,"woods, Ebony wood"
Givenchy Eau De Moiselle,306 ,5,1 ,"['Givenchy', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2008', 'Lemon, Tangerine, Basil,Ylang-Ylang, Rose,Musk, Tonka Bean, Ambrette (Musk Mallow)', 'Eau de Toilette', 'Lemon, Tangerine, Basil', 'Ylang-Ylang, Rose', 'Musk, Tonka Bean, Ambrette (Musk Mallow)']",Givenchy,Women,Perfume,Romantic,Floral,50_ml,2008,"Lemon, Tangerine, Basil,Ylang-Ylang, Rose,Musk, Tonka Bean, Ambrette (Musk Mallow)",Eau de Toilette,"Lemon, Tangerine, Basil","Ylang-Ylang, Rose","Musk, Tonka Bean, Ambrette (Musk Mallow)"
Candy Addict Rosy Rose Hair Mist - 100 ml,179 ,5,7 ,"['Candy Addict', 'Women', 'Hair Mist', 'Feminine', 'Floral', '100 ml', '2019', 'Rose, Geranium, Musk', 'Rose', 'Geranium', 'Musk']",Candy Addict,Women,Hair Mist,Feminine,Floral,100_ml,2019,"Rose, Geranium, Musk",,Rose,Geranium,Musk
Givenchy Hot Couture,274 ,5,2 ,"['Givenchy', 'Women', 'Perfume', 'Feminine', 'Fruity', '50 ml', '2000', 'Bergamot, Raspberry, Orange, Magnolia, Black Pepper, Vetiver,Amber, Musk, Sandalwood', 'Eau de Parfum', 'Bergamot, Raspberry, Orange', 'Magnolia, Black Pepper, Vetiver', 'Amber, Musk, Sandalwood']",Givenchy,Women,Perfume,Feminine,Fruity,50_ml,2000,"Bergamot, Raspberry, Orange, Magnolia, Black Pepper, Vetiver,Amber, Musk, Sandalwood",Eau de Parfum,"Bergamot, Raspberry, Orange","Magnolia, Black Pepper, Vetiver","Amber, Musk, Sandalwood"
Parfums de Marly Delina Hair Mist,322 ,No-Rate,0,"['Parfums de Marly', 'Women', 'Hair Mist', 'Romantic', 'Floral', '75 ml', 'Bergamot, Rhubarb, Lychee, Nutmeg, Rose, Peony, Vanilla, Musk, Cashmeran, Woods', 'Rose, Peony', 'Lychee, Rhubarb, Nutmeg', 'Vanilla, White Musks and Frankincense']",Parfums de Marly,Women,Hair Mist,Romantic,Floral,75_ml,,"Bergamot, Rhubarb, Lychee, Nutmeg, Rose, Peony, Vanilla, Musk, Cashmeran, Woods",,"Rose, Peony","Lychee, Rhubarb, Nutmeg","Vanilla, White Musks and Frankincense"
Maqam Base of Sight EDP - 120 ml,319 ,5,1 ,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Geranium, Coconut, Woody Notes, Vanilla', 'Eau de Parfum', 'Geranium, Coconut', 'Woody Notes', 'Vanilla']",Maqam,Unisex,Perfume,Charismatic,Oriental,120_ml,2020,"Geranium, Coconut, Woody Notes, Vanilla",Eau de Parfum,"Geranium, Coconut",Woody Notes,Vanilla
Versace Eros Pour Homme,219 ,4.9,13 ,"['Versace', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '100 ml', '2012', 'Mint, green apple, lemon, tonka, geranium, ambroxan, madagascar vanilla, vetiver, oak moss, virginia cedar, atlantic cedar.', 'Eau de Toilette', 'Mint, Green apple, Lemon', 'Tonka bean, Geranium, Ambroxan', 'Madagascar vanilla, Vetiver, Oakmoss, Virginian cedar, Altas cedar']",Versace,Men,Perfume,Extravagant,Aromatic,100_ml,2012,"Mint, green apple, lemon, tonka, geranium, ambroxan, madagascar vanilla, vetiver, oak moss, virginia cedar, atlantic cedar.",Eau de Toilette,"Mint, Green apple, Lemon","Tonka bean, Geranium, Ambroxan","Madagascar vanilla, Vetiver, Oakmoss, Virginian cedar, Altas cedar"
Roberto Cavalli Paradiso Assoluto,137 ,5,2 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '75 ml', '2016', 'Pink pepper, Istria, bergamot, grapefruit, lemon, wild jasmine, red lily, love fruit, patchouli, sandalwood, vanilla, cashmere wood.', 'Eau de Parfum', 'Pink pepper, Istria, bergamot, grapefruit, lemon', 'wild jasmine, red lily, love fruit', 'patchouli, sandalwood, vanilla, cashmere wood.']",Roberto Cavalli,Women,Perfume,Romantic,Floral,75_ml,2016,"Pink pepper, Istria, bergamot, grapefruit, lemon, wild jasmine, red lily, love fruit, patchouli, sandalwood, vanilla, cashmere wood.",Eau de Parfum,"Pink pepper, Istria, bergamot, grapefruit, lemon","wild jasmine, red lily, love fruit","patchouli, sandalwood, vanilla, cashmere wood."
Orto Parisi Terroni,720 ,5,1 ,"['Orto Parisi', 'Unisex', 'Perfume', 'Extravagant', 'Aromatic', '50 ml', '2017', 'Cashmere wood, cotton candy, cibriol, musk, cedar', 'Eau de Parfum', 'Cashmere wood, cotton candy', 'Cypriol', 'Musk, rice']",Orto Parisi,Unisex,Perfume,Extravagant,Aromatic,50_ml,2017,"Cashmere wood, cotton candy, cibriol, musk, cedar",Eau de Parfum,"Cashmere wood, cotton candy",Cypriol,"Musk, rice"
The Finest Amber EDP - 100 ml,249 ,5,1 ,"['The Finest', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '100 ml', 'Cardamom, Cedarwood, Amber, Vanilla', 'Eau de Parfum', 'Cardamom', 'Cedarwood', 'Amber, Vanilla']",The Finest,Unisex,Perfume,Charismatic,Oriental,100_ml,,"Cardamom, Cedarwood, Amber, Vanilla",Eau de Parfum,Cardamom,Cedarwood,"Amber, Vanilla"
Gucci Flora By Gucci EDP,302 ,5,4 ,"['Gucci', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2008', 'Mandarin, Peony, Rose, Pink Pepper, Osmanthus Flower, Patchouli, Sandalwood, Vanilla', 'Eau de Parfum', 'Mandarin, Peony', 'Rose, Pink Pepper, Osmanthus Flower', 'Patchouli, Sandalwood, Vanilla']",Gucci,Women,Perfume,Romantic,Floral,50_ml,2008,"Mandarin, Peony, Rose, Pink Pepper, Osmanthus Flower, Patchouli, Sandalwood, Vanilla",Eau de Parfum,"Mandarin, Peony","Rose, Pink Pepper, Osmanthus Flower","Patchouli, Sandalwood, Vanilla"
Burberry London,170 ,5,2 ,"['Burberry', 'Women', 'Perfume', 'Feminine', 'Floral', '100 ml', '2006', 'Rose, Honeysuckle, Tangerine, Jasmine, Clementine, Musk, Patchouli, Sandalwood', 'Eau de Parfum', 'Clementine, Honeysuckle, English Garden Rose', 'Tiare Flower, Jasmine, Peony, Musks', 'Indian Sandalwood, Patchouli']",Burberry,Women,Perfume,Feminine,Floral,100_ml,2006,"Rose, Honeysuckle, Tangerine, Jasmine, Clementine, Musk, Patchouli, Sandalwood",Eau de Parfum,"Clementine, Honeysuckle, English Garden Rose","Tiare Flower, Jasmine, Peony, Musks","Indian Sandalwood, Patchouli"
