Name,Price,Rate,Rating_count,Details,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Marly Delina,1265 ,5,2 ,"['Parfums de Marly', 'Women', 'Perfume', 'Romantic', 'Floral', '75 ml', '2017', 'Bergamot, rhubarb, litchi, nutmeg, Turkish rose, peony, petalia, vanilla, musk, cashmere, Haitian vetiver, cedar wood, incense.']",Parfums de Marly,Women,Perfume,Romantic,Floral,75_ml,2017,"Bergamot, rhubarb, litchi, nutmeg, Turkish rose, peony, petalia, vanilla, musk, cashmere, Haitian vetiver, cedar wood, incense.",,"Bergamot, rhubarb, litchi, nutmeg","Turkish rose, peony, petalia, vanilla, musk","Cashmere, Haitian vetiver, cedar wood, incense."
The Finest Amber EDP - 100 ml,209 ,5,1 ,"['The Finest', 'Unisex', 'Perfume', 'Charismatic', 'Oriental']",The Finest,Unisex,Perfume,Charismatic,Oriental,100_ml,,,,,,
Dolce & Gabbana The One for Women,279 ,No-Rate,0,"['Dolce&Gabbana', 'Women', 'Perfume', 'Modern', 'Floral Oriental', '50 ml', '2006', 'mandarin, bergamot, litchi, peach, jasmine, lily of the valley, plum, vetiver root, amber, musk, vanilla', 'Eau de Parfum', 'mandarin, bergamot, litchi', 'peach, jasmine, lily of the valley, plum', 'vetiver root, amber, musk, vanilla']",Dolce&Gabbana,Women,Perfume,Modern,FloralOriental,50_ml,2006,"mandarin, bergamot, litchi, peach, jasmine, lily of the valley, plum, vetiver root, amber, musk, vanilla",Eau de Parfum,"mandarin, bergamot, litchi","peach, jasmine, lily of the valley, plum","vetiver root, amber, musk, vanilla"
Coach Dreams,249 ,5,1 ,"['Coach', 'Women', 'Perfume', 'Extravagant', 'Fruity', '90 ml', '2020', 'Pear juice, orange, gardenia, cactus flowers, Joshua tree, ambroxan', 'Eau de Parfum', 'Pear juice, orange', 'Orange, gardenia, cactus flowers', 'Joshua Tree, Ambroxan']",Coach,Women,Perfume,Extravagant,Fruity,90_ml,2020,"Pear juice, orange, gardenia, cactus flowers, Joshua tree, ambroxan",Eau de Parfum,"Pear juice, orange","Orange, gardenia, cactus flowers","Joshua Tree, Ambroxan"
Calvin Klein Ck Sheer Beauty,179 ,5,1 ,"['Calvin Klein', 'Women', 'Perfume', 'Feminine', 'Soft Floral', '100 ml', '2010', 'Bergamot, Red Berries, Peach Bellin, Peony, Lilly, Jasmine, Sandalwood, Musk ,Vanilla', 'Eau de Toilette', 'Bergamot, Red Berries, Peach Bellin', 'Peony, Lilly, Jasmine', 'Sandalwood, Musk ,Vanilla']",Calvin Klein,Women,Perfume,Feminine,Soft_Floral,100_ml,2010,"Bergamot, Red Berries, Peach Bellin, Peony, Lilly, Jasmine, Sandalwood, Musk ,Vanilla",Eau de Toilette,"Bergamot, Red Berries, Peach Bellin","Peony, Lilly, Jasmine","Sandalwood, Musk ,Vanilla"
Lancome Idole,439 ,5,4 ,"['Lancome', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2019', 'Bergamot (Citrus),Juicy Pear, Pink Peppercorn, Rose, Jasmine, White Musk, Vanilla, Patchouli, Cedarwood', 'Eau de Parfum', 'Bergamot (Citrus),Juicy Pear, Pink Peppercorn', 'Rose, Jasmine', 'White Musk, Vanilla, Patchouli, Cedarwood']",Lancome,Women,Perfume,Romantic,Floral,50_ml,2019,"Bergamot (Citrus),Juicy Pear, Pink Peppercorn, Rose, Jasmine, White Musk, Vanilla, Patchouli, Cedarwood",Eau de Parfum,"Bergamot (Citrus),Juicy Pear, Pink Peppercorn","Rose, Jasmine","White Musk, Vanilla, Patchouli, Cedarwood"
Kholasaat Majesty Alliance,470 ,No-Rate,0,"['Kholasaat', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '100 ml', 'jasmine Sambac, Rose Damacena, musk', 'Eau de Parfum']",Kholasaat,Unisex,Perfume,Charismatic,Oriental,100_ml,,"jasmine Sambac, Rose Damacena, musk",Eau de Parfum,jasmine Sambac,Rose Damacena,Musk
Bvlgari Splendida Jasmin Noir,349 ,No-Rate,0,"['Bvlgari', 'Women', 'Perfume', 'Extravagant', 'Green', '100 ml', '2017', 'Gardenia, green notes , sandalwood , jasmine , cashmeran , tonka bean , patchouli .', 'Eau de Parfum', 'Green leaves, gardenia flower', 'Jasmine, sandalwood', 'Patchouli, Tonka Beans, Kashmiran']",Bvlgari,Women,Perfume,Extravagant,Oriental,100_ml,2017,"Gardenia, green notes , sandalwood , jasmine , cashmeran , tonka bean , patchouli .",Eau de Parfum,"Green leaves, gardenia flower","Jasmine, sandalwood","Patchouli, Tonka Beans, Kashmiran"
Versace Eros Pour Femme EDT,299 ,5,1 ,"['Versace', 'Women', 'Perfume', 'Sophisticated', 'Woody', '100 ml', '2014', 'Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.', 'Eau de Toilette', 'Sicilian lemon, Calabrian bergamot, Pomegranate', 'lemon, sambac jasmine, peony', 'Sandalwood, Ambrox, Musk,woods']",Versace,Women,Perfume,Sophisticated,Woody,100_ml,2014,"Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.",Eau de Toilette,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods"
Lorenzo Villoresi Firenze Teint De Neige EDT,480 ,5,1 ,"['Lorenzo Villoresi Firenze', 'Unisex', 'Perfume', 'Romantic', 'Floral', '100 ml', '2000', 'Jasmin, Ylang Ylang, Tonka bean, Rose, Heliotrope, Musk, sweet, powdery, floral notes', 'Eau de Toilette', 'Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes', 'Tonka bean, Jasmin, Rose, sweet, powdery, floral notes', 'Heliotrope, Musk, Rose, Jasmin, sweet, powdery, floral notes']",Lorenzo Villoresi Firenze,Unisex,Perfume,Romantic,Floral,100_ml,2000,"Jasmin, Ylang Ylang, Tonka bean, Rose, Heliotrope, Musk, sweet, powdery, floral notes",Eau de Toilette,"Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes","Tonka bean, Jasmin, Rose, sweet, powdery, floral notes","Heliotrope, Musk, Rose, Jasmin, sweet, powdery, floral notes"
